"DTI_CL_MES","Month","DTI_CL_ESTACIONES_METEO","DMC weather stations","Value","Flag Codes","Flags"
"2010-M12","2010 December","T001022","El Tepual",23,,
"2010-M12","2010 December","T001023","Teniente Vidal",29.7,,
"2010-M12","2010 December","T001024","Balmaceda",27.6,,
"2010-M12","2010 December","T001025","Pdte. Carlos Ibáñez",18.9,,
"2010-M12","2010 December","T001026","Eduardo Frei Montalva",4.4,,
"2011-M01","2011 January","T001001","Chacalluta",26.9,,
"2011-M01","2011 January","T001002","Diego Aracena",26.4,,
"2011-M01","2011 January","T001003","Cerro Moreno",24.3,,
"2011-M01","2011 January","T001004","Mataveri",28.6,,
"2011-M01","2011 January","T001007","La Florida",23.6,,
"2011-M01","2011 January","T001009","Punta Ángeles",24,,
"2011-M01","2011 January","T001010","Jardín Botánico",32,,
"2011-M01","2011 January","T001011","Quinta Normal",34,,
"2011-M01","2011 January","T001012","Arturo Merino Benítezl",33.8,,
"2011-M01","2011 January","T001014","Juan Fernández",25,,
"2011-M01","2011 January","T001015","Graneros",34,,
"2011-M01","2011 January","T001016","General Freire",33,,
"2011-M01","2011 January","T001017","Bernardo O'Higgins",32.8,,
"2011-M01","2011 January","T001018","Carriel Sur",27.1,,
"2011-M01","2011 January","T001019","Maquehue",34,,
"2011-M01","2011 January","T001020","Pichoy",32.9,,
"2011-M01","2011 January","T001021","Cañal Bajo",30.8,,
"2011-M01","2011 January","T001022","El Tepual",26.6,,
"2011-M01","2011 January","T001023","Teniente Vidal",31.8,,
"2011-M01","2011 January","T001024","Balmaceda",31.8,,
"2011-M01","2011 January","T001025","Pdte. Carlos Ibáñez",20.7,,
"2011-M01","2011 January","T001026","Eduardo Frei Montalva",4.9,,
"2011-M02","2011 February","T001001","Chacalluta",27.8,,
"2011-M02","2011 February","T001002","Diego Aracena",28.9,,
"2011-M02","2011 February","T001003","Cerro Moreno",25.4,,
"2011-M02","2011 February","T001004","Mataveri",28.8,,
"2011-M02","2011 February","T001007","La Florida",23.2,,
"2011-M02","2011 February","T001009","Punta Ángeles",24.5,,
"2011-M02","2011 February","T001010","Jardín Botánico",31,,
"2011-M02","2011 February","T001011","Quinta Normal",34.6,,
"2011-M02","2011 February","T001012","Arturo Merino Benítezl",34.8,,
"2011-M02","2011 February","T001014","Juan Fernández",22.9,,
"2011-M02","2011 February","T001015","Graneros",35.3,,
"2011-M02","2011 February","T001016","General Freire",34.8,,
"2011-M02","2011 February","T001017","Bernardo O'Higgins",34.6,,
"2011-M02","2011 February","T001018","Carriel Sur",25.7,,
"2011-M02","2011 February","T001019","Maquehue",36.9,,
"2011-M02","2011 February","T001020","Pichoy",34,,
"2011-M02","2011 February","T001021","Cañal Bajo",34.6,,
"2011-M02","2011 February","T001022","El Tepual",29.8,,
"2011-M02","2011 February","T001023","Teniente Vidal",33,,
"2011-M02","2011 February","T001024","Balmaceda",32.4,,
"2011-M02","2011 February","T001025","Pdte. Carlos Ibáñez",23.3,,
"2011-M02","2011 February","T001026","Eduardo Frei Montalva",5.8,,
"2011-M03","2011 March","T001001","Chacalluta",25.6,,
"2011-M03","2011 March","T001002","Diego Aracena",25,,
"2011-M03","2011 March","T001003","Cerro Moreno",24.1,,
"2011-M03","2011 March","T001004","Mataveri",28.1,,
"2011-M03","2011 March","T001007","La Florida",23.6,,
"2011-M03","2011 March","T001009","Punta Ángeles",23.4,,
"2011-M03","2011 March","T001010","Jardín Botánico",29.2,,
"2011-M03","2011 March","T001011","Quinta Normal",32.4,,
"2011-M03","2011 March","T001012","Arturo Merino Benítezl",32.9,,
"2011-M03","2011 March","T001014","Juan Fernández",24.7,,
"2011-M03","2011 March","T001015","Graneros",32,,
"2011-M03","2011 March","T001016","General Freire",32,,
"2011-M03","2011 March","T001017","Bernardo O'Higgins",33,,
"2011-M03","2011 March","T001018","Carriel Sur",24.5,,
"2011-M03","2011 March","T001019","Maquehue",31.2,,
"2011-M03","2011 March","T001020","Pichoy",28.2,,
"2011-M03","2011 March","T001021","Cañal Bajo",27,,
"2011-M03","2011 March","T001022","El Tepual",24.2,,
"2011-M03","2011 March","T001023","Teniente Vidal",28.2,,
"2011-M03","2011 March","T001024","Balmaceda",28,,
"2011-M03","2011 March","T001025","Pdte. Carlos Ibáñez",21.4,,
"2011-M03","2011 March","T001026","Eduardo Frei Montalva",7.5,,
"2011-M04","2011 April","T001001","Chacalluta",25.8,,
"2011-M04","2011 April","T001002","Diego Aracena",24.6,,
"2011-M04","2011 April","T001003","Cerro Moreno",22.3,,
"2011-M04","2011 April","T001004","Mataveri",27.3,,
"2011-M04","2011 April","T001007","La Florida",22.3,,
"2011-M04","2011 April","T001009","Punta Ángeles",23.3,,
"2011-M04","2011 April","T001010","Jardín Botánico",27.2,,
"2011-M04","2011 April","T001011","Quinta Normal",32,,
"2011-M04","2011 April","T001012","Arturo Merino Benítezl",32,,
"2011-M04","2011 April","T001014","Juan Fernández",21.9,,
"2011-M04","2011 April","T001015","Graneros",30.6,,
"2011-M04","2011 April","T001016","General Freire",27.5,,
"2011-M04","2011 April","T001017","Bernardo O'Higgins",27.8,,
"2011-M04","2011 April","T001018","Carriel Sur",24.3,,
"2011-M04","2011 April","T001019","Maquehue",29.5,,
"2011-M04","2011 April","T001020","Pichoy",22.7,,
"2011-M04","2011 April","T001021","Cañal Bajo",21.8,,
"2011-M04","2011 April","T001022","El Tepual",22,,
"2011-M04","2011 April","T001023","Teniente Vidal",23.6,,
"2011-M04","2011 April","T001024","Balmaceda",22.3,,
"2011-M04","2011 April","T001025","Pdte. Carlos Ibáñez",14.7,,
"2011-M04","2011 April","T001026","Eduardo Frei Montalva",3.3,,
"2011-M05","2011 May","T001001","Chacalluta",22.3,,
"2011-M05","2011 May","T001002","Diego Aracena",21.4,,
"2011-M05","2011 May","T001003","Cerro Moreno",19.1,,
"2011-M05","2011 May","T001004","Mataveri",25.3,,
"2011-M05","2011 May","T001007","La Florida",20.4,,
"2011-M05","2011 May","T001009","Punta Ángeles",20.6,,
"2011-M05","2011 May","T001010","Jardín Botánico",26,,
"2011-M05","2011 May","T001011","Quinta Normal",28,,
"2011-M05","2011 May","T001012","Arturo Merino Benítezl",27.3,,
"2011-M05","2011 May","T001014","Juan Fernández",20.3,,
"2011-M05","2011 May","T001015","Graneros",26.5,,
"2011-M05","2011 May","T001016","General Freire",21.6,,
"2011-M05","2011 May","T001017","Bernardo O'Higgins",22,,
"2011-M05","2011 May","T001018","Carriel Sur",22.7,,
"2011-M05","2011 May","T001019","Maquehue",21,,
"2011-M05","2011 May","T001020","Pichoy",18.1,,
"2011-M05","2011 May","T001021","Cañal Bajo",17.7,,
"2011-M05","2011 May","T001022","El Tepual",16.5,,
"2011-M05","2011 May","T001023","Teniente Vidal",16.2,,
"2011-M05","2011 May","T001024","Balmaceda",13.9,,
"2011-M05","2011 May","T001025","Pdte. Carlos Ibáñez",12.5,,
"2011-M05","2011 May","T001026","Eduardo Frei Montalva",2.2,,
"2011-M06","2011 June","T001001","Chacalluta",21.3,,
"2011-M06","2011 June","T001002","Diego Aracena",20.6,,
"2011-M06","2011 June","T001003","Cerro Moreno",20,,
"2011-M06","2011 June","T001004","Mataveri",24.2,,
"2011-M06","2011 June","T001007","La Florida",19.3,,
"2011-M06","2011 June","T001009","Punta Ángeles",22.5,,
"2011-M06","2011 June","T001010","Jardín Botánico",23,,
"2011-M06","2011 June","T001011","Quinta Normal",23.7,,
"2011-M06","2011 June","T001012","Arturo Merino Benítezl",23.2,,
"2011-M06","2011 June","T001014","Juan Fernández",19.1,,
"2011-M06","2011 June","T001015","Graneros",23.1,,
"2011-M06","2011 June","T001016","General Freire",20.1,,
"2011-M06","2011 June","T001017","Bernardo O'Higgins",17,,
"2011-M06","2011 June","T001018","Carriel Sur",17,,
"2011-M06","2011 June","T001019","Maquehue",17.8,,
"2011-M06","2011 June","T001020","Pichoy",15.5,,
"2011-M06","2011 June","T001021","Cañal Bajo",15.4,,
"2011-M06","2011 June","T001022","El Tepual",15.3,,
"2011-M06","2011 June","T001023","Teniente Vidal",13,,
"2011-M06","2011 June","T001024","Balmaceda",12,,
"2011-M06","2011 June","T001025","Pdte. Carlos Ibáñez",8.8,,
"2011-M06","2011 June","T001026","Eduardo Frei Montalva",8.9,,
"2011-M07","2011 July","T001001","Chacalluta",19.9,,
"2011-M07","2011 July","T001002","Diego Aracena",18.4,,
"2011-M07","2011 July","T001003","Cerro Moreno",17.2,,
"2011-M07","2011 July","T001004","Mataveri",23,,
"2011-M07","2011 July","T001007","La Florida",19.5,,
"2011-M07","2011 July","T001009","Punta Ángeles",20.5,,
"2011-M07","2011 July","T001010","Jardín Botánico",20,,
